"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun May 19 06:09:13 GMT 2024","Sun May 19 06:09:13 GMT 2024","370","Regression API tests for Petstore","PET endpoint","api.pet.tests.GetPetTest","api.pet.tests.GetPetTest","getPetsByInvalidPetIdTest","getPetsByInvalidPetIdTest",""
"failed","Sun May 19 06:09:09 GMT 2024","Sun May 19 06:09:10 GMT 2024","382","Regression API tests for Petstore","PET endpoint","api.pet.tests.DeletePetTest","api.pet.tests.DeletePetTest","deleteWithInvalidPetIdTest","deleteWithInvalidPetIdTest",""
"passed","Sun May 19 06:09:10 GMT 2024","Sun May 19 06:09:11 GMT 2024","1143","Regression API tests for Petstore","PET endpoint","api.pet.tests.DeletePetTest","api.pet.tests.DeletePetTest","deleteWithNotFoundPetIdTest","deleteWithNotFoundPetIdTest",""
"failed","Sun May 19 06:09:13 GMT 2024","Sun May 19 06:09:14 GMT 2024","523","Regression API tests for Petstore","PET endpoint","api.pet.tests.GetPetTest","api.pet.tests.GetPetTest","getPetsByInvalidStatusTest","getPetsByInvalidStatusTest",""
"passed","Sun May 19 06:09:08 GMT 2024","Sun May 19 06:09:08 GMT 2024","777","Regression API tests for Petstore","PET endpoint","api.pet.tests.UpdatePetTest","api.pet.tests.UpdatePetTest","updateWithFormDataTest","updateWithFormDataTest",""
"passed","Sun May 19 06:09:05 GMT 2024","Sun May 19 06:09:06 GMT 2024","848","Regression API tests for Petstore","PET endpoint","api.pet.tests.CreatePetTest","api.pet.tests.CreatePetTest","uploadImageToPetTest","uploadImageToPetTest",""
"passed","Sun May 19 06:09:02 GMT 2024","Sun May 19 06:09:04 GMT 2024","1919","Regression API tests for Petstore","PET endpoint","api.pet.tests.CreatePetTest","api.pet.tests.CreatePetTest","createPetWithAllFieldsTest","createPetWithAllFieldsTest",""
"passed","Sun May 19 06:09:14 GMT 2024","Sun May 19 06:09:15 GMT 2024","1118","Regression API tests for Petstore","PET endpoint","api.pet.tests.GetPetTest","api.pet.tests.GetPetTest","getPetsByNotFoundPetIdTest","getPetsByNotFoundPetIdTest",""
"passed","Sun May 19 06:09:06 GMT 2024","Sun May 19 06:09:07 GMT 2024","796","Regression API tests for Petstore","PET endpoint","api.pet.tests.UpdatePetTest","api.pet.tests.UpdatePetTest","updatePetTest","updatePetTest",""
"passed","Sun May 19 06:09:11 GMT 2024","Sun May 19 06:09:12 GMT 2024","1218","Regression API tests for Petstore","PET endpoint","api.pet.tests.GetPetTest","api.pet.tests.GetPetTest","getPetsByAllStatusesTest","getPetsByAllStatusesTest",""
"passed","Sun May 19 06:09:05 GMT 2024","Sun May 19 06:09:05 GMT 2024","408","Regression API tests for Petstore","PET endpoint","api.pet.tests.CreatePetTest","api.pet.tests.CreatePetTest","createPetWithRequiredFieldsTest","createPetWithRequiredFieldsTest",""
"passed","Sun May 19 06:09:12 GMT 2024","Sun May 19 06:09:13 GMT 2024","760","Regression API tests for Petstore","PET endpoint","api.pet.tests.GetPetTest","api.pet.tests.GetPetTest","getPetsByIdTest","getPetsByIdTest",""
"passed","Sun May 19 06:09:08 GMT 2024","Sun May 19 06:09:09 GMT 2024","763","Regression API tests for Petstore","PET endpoint","api.pet.tests.DeletePetTest","api.pet.tests.DeletePetTest","deleteCreatedPetTest","deleteCreatedPetTest",""
"passed","Sun May 19 06:09:04 GMT 2024","Sun May 19 06:09:05 GMT 2024","405","Regression API tests for Petstore","PET endpoint","api.pet.tests.CreatePetTest","api.pet.tests.CreatePetTest","createPetWithNoBodyTest","createPetWithNoBodyTest",""
"failed","Sun May 19 06:09:07 GMT 2024","Sun May 19 06:09:08 GMT 2024","801","Regression API tests for Petstore","PET endpoint","api.pet.tests.UpdatePetTest","api.pet.tests.UpdatePetTest","updateWithFormDataInvalidInputTest","updateWithFormDataInvalidInputTest",""
"passed","Sun May 19 06:09:15 GMT 2024","Sun May 19 06:09:17 GMT 2024","1890","Regression API tests for Petstore","PET endpoint","api.pet.tests.GetPetTest","api.pet.tests.GetPetTest","getPetsByStatusOneByOneTest","getPetsByStatusOneByOneTest",""
